str.chop!, Modify str in place by removing last character
str.clear, Make str empty
str.delete(str2), Return a copy of str with all characters of str2 deleted
str.delete!(str2), Modify str by deleting all characters of str2 set
str.succ!, Modify str by incrementing characters starting from right most aphanumeric char (successor)
str.reverse!, Modify str by reversing it in place
str.scrub(char), Replace invalid bytes with given replacement char
str.squeeze, Return copy of str where runs of the same character are replaced by a single character
str.b, Return a copied string whose encoding is ASCII-8BIT
str.codepoints, Return an array of the Integer ordinals of the characters in str
str.crypt(str2), Apply a one-way cryptographic hash to str with given salt str2
str.dump, Produce a version of str with all non-printing characters replace and all special characters escaped
str.encode(str2), Return a copy of str transcoded to encoding str2
str.intern, Return symbol corresponding to str, creating the symbol if it did not previously exist
str.ord, Return integer ordinal of one-character string
str.unpack(str2), Return array of decoded str using str2 as format
str.bytes, Return an array of bytes in str
str.bytesize, Return the length of str in bytes
str.byteslice(index), Byte Reference - return a substring of one byte at index of str
str.byteslice(start(comma) length), Byte Reference - return substring from start to length of str
str.byteslice(range), Byte Reference - return substring containing bytes at offsets given by range of str
str.getbyte(index), Return the indexth byte of str as an integer
str.setbyte(index(comma) integer), Modify the indexth byte as integer
d.cwday, Return the day of calendar week of date d (1-7, Monday is 1)
d.cweek, Return the calendar week number of date d (1-53)
d.day, Return the day of the month of date d (1-31)
d.month, Return the month (1-12) of date d (option 2)
d.wday, Return the day of week of date d (0-6(comma) Sunday is zero)
d.yday, Return the day of year of date d (1-366)
d.year, Return the year of date d
d + integer, Return a date object with integer days added to date d
d - integer, Return a date object with integer days subtracted from date d
d1 - d2, Return the difference between date d1 and date d2
d << integer, Return a date object with integer months subtracted from date d
d >> integer, Return a date object with integer months added to date d
d.next, Return a date object denoting the following date of date d (option 1)
d.next_day, Date d + 1 day (long form)
d.next_month, Date d + 1 month (long form)
d.next_year, Date d + 1 year (long form)
d.prev_day, Date d - 1 day (long form)
d.prev_month, Date d - 1 month (long form)
d.prev_year, Date d - 1 year (long form)
d.succ, Return a date object denoting the following date of date d (option 2)
Date::ABBR_DAYNAMES, Array of abbreviated day names
Date::ABBR_MONTHNAMES, Array of abbreviated month names
Date::DAYNAMES, Array of full names of days of the week
Date::ENGLAND, The Julian day number of the day of calendar reform for England and her colonies
Date::GREGORIAN, The Julian day number of the day of calendar reform for the proleptic Gregorian calendar
Date::ITALY, The Julian day number of the day of calendar reform for Italy
Date::JULIAN, The Julian day number of the day of calendar reform for the proleptic Julian calendar
Date::MONTHNAMES, Array of full month names
d.to_date, Return self of date d
d.to_datetime, Convert date d to DateTime
d.to_s, Return a string of date d in ISO 8601 format
d.to_time, Convert date d to Time
d1.downto(d2), Iterate down from dates d1 to d2 one day at a time passing date to block
d1.step(d2(comma) integer), Iterate integer steps at a time from dates d1 to d2
d1.upto(d2), Iterate up from dates d1 to d2 one day at a time passing date to block
d.friday?, Return true if date d is Friday
d.monday?, Return true if the date is Monday
d.saturday?, Return true if the date is Saturday
d.sunday?, Return true if date d is Sunday
d.thursday?, Return true if date d is Thursday
d.tuesday?, Return true if date d is Tuesday
d.wednesday?, Return true if date d is Wednesday
d.inspect, Return the value as a string for inspection of date d
d.gregorian?, Return true if date d is on or after the day of calendar reform
d.julian?, Return true if date d is before the day of calendar reform
d.leap?, Return true if the year is a leap year of date d
d1 <=> d2, Compare two dates d1 and d2 and return -1, 0, 1, or nil.
d1 === d2, Return true if d1 and d2 are the same day
d.asctime, Return a string in asctime format. Equivalent to strftime('%c') (option 1)
d.ctime, Return a string in asctime format. Equivalent to strftime('%c') (option 2)
d.httpdate, Format date d as http date (equivalent to strftime('%a %d %b %Y %T GMT')
d.ajd, Return the astronomical Julian day number of date d
d.amjd, Return the astronomical modified Julian day number of date d
d.cwyear, Return the calendar week based year of date d
d.day_fraction, Return the fractional part of the day of date d
d.jd, Return the Julian day number of date d
d.mon, Return the month (1-12) of date d (option 1)
d.start, Return the Julian day number denoting the day of calendar reform
h1 == h2, Return true if h1 and h2 contain the same number of keys and if each key-value pair is equal
h[key], Element Reference - retrieve the value object corresponding to the key object of hash h
h[key] = value, Set the value of key of hash h
h.clear, Remove all key-value pairs from hash h
h.empty?, Return true if hash h contains no key-value pairs
h.length, Return the number of key-value pairs in hash h (option 1)
h.delete_if, Delete every key-value pair from hash h for which block evaluates to true
h.each, Call block once for each key in hash h(comma) passing the key-value pair as parameters (option 1)
h.each_key, Call block once for each key in hash h(comma) passing the key as a parameter
h.each_value, Call block once for each key in hash h(comma) passing the value as a parameter
h.keep_if, Delete every key-value pair from h for which block evaluates to false
h.any?, Pass each key(comma) value of hash h to a block and return true if given block ever returns a value other than false or nil.
h.each_pair, Call block once for each key in hash h(comma) passing the key-value pair as parameters (option 2)
h.reject, Return a new hash consisting of entries for which the block returns false of hash h
h.reject!, Equivalent to delete_if(comma) but return nil if no changes were made to hash h
h.select, Return a new hash consistent of entries for which the block returns true for hash h
h.select!, Equivalent to keep_if(comma) but return true if no changes were made to hash h
h.delete(key), Delete key-value pair and return value from hash h whose key is equal to key
h.has_key?(key), Return true if the given key is present in hash h (option 1)
h.include?(key), Return true if the given key is present in hash h (option 2)
h.key(value), Return the key of an occurrence of a given value in hash h
h.key?(key), Return true if the given key is present in hash h (option 3)
h.keys, Return a new array populated with the keys from hash h
h.member?(key), Return true if the given key is present in hash h (option 4)
h.default, Return default value of hash h
h.default = obj, Set default value of hash h to obj
h.default_proc, If hash h was invoked with a block(comma) return that block
h.default_proc = block, Set default proc of hash h to be executed on each failed key lookup of h
h.fetch(key), Return a value from hash h for key. Raise exception if key not found.
h.has_value?(value), Return true if the given value is present for some key in hash h (option 1)
h.value?(value), Return true if the given value is present for some key in hash h (option 2)
h.values, Return a new array populated with the values from hash h
h.values_at(key1(comma) key2), Return an array containing the values associated with the given keys key1 and key2 of hash h
h1.eql?(h2), Return true if h1 and h2 are both hashes with the same content
h.flatten, Return a new array that is a one-dimensional flattening of hash h
h.invert, Return a new hash created by using hash h's values as keys(comma) and the keys as values
h1.merge(h2), Return a new hash containing the contents of h1 and h2 (use an optional block to solve conflicts)
h1.merge!(h2), Add the contents of h2 to h1 (use an optional block to solve conflicts)
h.shift, Remove a key-value pair from hash h and return it as the two item array [key(comma)value]
h.size, Return the number of key-value pairs in hash h (option 2)
h.to_a, Convert hash h to a nested array of [key(comma)value] arrays
h.assoc(obj), Search through hash h comparing obj with each key and return the key-value pair as a two element array
h.compare_by_identity, Make hash h compare its keys by their identity (exact same objects)
h.compare_by_identity?, Return true if hash h will compare its keys by identity
h.hash, Compute a hash-code for hash h
h.to_s, Return the contents of hash h as string
h.rassoc(obj), Search through the hash comparing obj with the values of hash h. Return first k-v pair (two element array) that matches
h.rehash, Rebuild hash h based on the current hash values for each key
